site_id,bs_id,scenario,sector_az_deg,lat,lon,total_MHz,used_MHz,util_pct,attached_users,demand_Mbps,served_Mbps
75,225,UMI,30.0,43.63251,-79.41567,100.0,48.209,48.2,243,90.71,90.71
75,226,UMI,150.0,43.63251,-79.41567,100.0,28.653,28.7,122,53.7,53.7
75,227,UMI,270.0,43.63251,-79.41567,100.0,55.059,55.1,205,95.14,95.14
76,228,UMI,30.0,43.63251,-79.4093,100.0,16.632,16.6,84,26.77,26.77
76,229,UMI,150.0,43.63251,-79.4093,100.0,10.453,10.5,69,28.85,28.85
76,230,UMI,270.0,43.63251,-79.4093,100.0,25.594,25.6,122,47.29,47.29
77,231,UMI,30.0,43.63251,-79.40293,100.0,17.418,17.4,85,30.86,30.86
77,232,UMI,150.0,43.63251,-79.40293,100.0,9.951,10.0,56,25.02,25.02
77,233,UMI,270.0,43.63251,-79.40293,100.0,15.487,15.5,71,32.38,32.38
78,234,UMI,30.0,43.63251,-79.39656,100.0,9.126,9.1,78,24.32,24.32
78,235,UMI,150.0,43.63251,-79.39656,100.0,13.991,14.0,106,41.96,41.96
78,236,UMI,270.0,43.63251,-79.39656,100.0,19.917,19.9,82,38.2,38.2
79,237,UMI,30.0,43.63251,-79.35195,100.0,4.375,4.4,19,7.25,7.25
79,238,UMI,150.0,43.63251,-79.35195,100.0,1.337,1.3,10,3.84,3.84
79,239,UMI,270.0,43.63251,-79.35195,100.0,18.146,18.1,52,23.36,23.36
80,240,UMI,30.0,43.63649,-79.46984,100.0,33.327,33.3,71,30.16,30.16
80,241,UMI,150.0,43.63649,-79.46984,100.0,29.325,29.3,71,29.38,29.38
80,242,UMI,270.0,43.63649,-79.46984,100.0,59.211,59.2,168,64.59,64.59
81,243,UMI,30.0,43.63649,-79.4571,100.0,12.825,12.8,64,33.37,33.37
81,244,UMI,150.0,43.63649,-79.4571,100.0,7.984,8.0,54,24.51,24.51
81,245,UMI,270.0,43.63649,-79.4571,100.0,12.232,12.2,46,16.88,16.88
82,246,UMI,30.0,43.63649,-79.45072,100.0,17.182,17.2,131,48.85,48.85
82,247,UMI,150.0,43.63649,-79.45072,100.0,10.253,10.3,79,30.47,30.47
82,248,UMI,270.0,43.63649,-79.45072,100.0,11.185,11.2,75,32.5,32.5
